"max_high","name","hours"
"137.97","BYND","09"
"139.56","BYND","10"
"141.0","BYND","11"
"138.24","BYND","12"
"137.79","BYND","13"
"135.73","BYND","14"
"135.85","BYND","15"
"67.25","DDOG","09"
"66.55","DDOG","10"
"65.0","DDOG","11"
"64.88","DDOG","12"
"65.0","DDOG","13"
"64.13","DDOG","14"
"65.87","DDOG","15"
"203.87","FB","09"
"203.35","FB","10"
"204.27","FB","11"
"205.1","FB","12"
"205.64","FB","13"
"204.99","FB","14"
"206.93","FB","15"
"452.0","NFLX","09"
"446.51","NFLX","10"
"440.53","NFLX","11"
"440.34","NFLX","12"
"441.78","NFLX","13"
"441.44","NFLX","14"
"442.14","NFLX","15"
"178.0","OKTA","09"
"177.81","OKTA","10"
"179.89","OKTA","11"
"179.01","OKTA","12"
"178.5","OKTA","13"
"177.81","OKTA","14"
"177.85","OKTA","15"
"16.54","PINS","09"
"16.67","PINS","10"
"16.94","PINS","11"
"17.04","PINS","12"
"17.03","PINS","13"
"16.91","PINS","14"
"17.09","PINS","15"
"758.09","SHOP","09"
"752.0","SHOP","10"
"756.78","SHOP","11"
"754.16","SHOP","12"
"755.82","SHOP","13"
"751.8","SHOP","14"
"755.57","SHOP","15"
"16.73","SNAP","09"
"16.93","SNAP","10"
"17.15","SNAP","11"
"16.99","SNAP","12"
"17.0","SNAP","13"
"16.92","SNAP","14"
"16.97","SNAP","15"
"72.81","SQ","09"
"75.59","SQ","10"
"76.49","SQ","11"
"76.75","SQ","12"
"77.18","SQ","13"
"77.26","SQ","14"
"78.25","SQ","15"
"290.11","TTD","09"
"290.07","TTD","10"
"296.86","TTD","11"
"294.5","TTD","12"
"296.0","TTD","13"
"295.77","TTD","14"
"297.67","TTD","15"
